Date,Match Name,Club,Location,Sanctioning Body,Event,Score,Maximum Score,Percentage,Placement,Match Type,Result Status,Score Sheet,Image Folder,Match Report,Notes
2026-06-20,ADRRA Match,ADRRA,Arnprior ON,,25m Standard Pistol,378,600,63.00,,Club Match,Unofficial,Evidence/2026-06-20 ADRRA Standard Pistol/score-sheet.jpg,Evidence/2026-06-20 ADRRA Standard Pistol/,Official Results/Match Reports/2026-06-20 ADRRA Standard Pistol.md,
2026-06-21,ADRRA Match,ADRRA,Arnprior ON,,25m Sport Pistol,437,600,72.83,,Club Match,Unofficial,Evidence/2026-06-21 ADRRA Sport Pistol/score-sheet.jpg,Evidence/2026-06-21 ADRRA Sport Pistol/,Official Results/Match Reports/2026-06-21 ADRRA Sport Pistol.md,
